Country,Salary,Happiness,SP,Fitch,Moody
Australia,1765,243.33,1,1,1
Austria,2043,260,2,1,1
Belgium,1825,243.33,3,3,4
Brazil,604,210,9,9,9
Canada,1418,253.33,1,1,1
Cyprus,1656,230,11,10,10
Czech Republic,547,213.33,4,5,5
Denmark,2390,273.5,1,1,1
Finland,2043,256.67,1,1,1
France,1828,220,2,1,1
Germany,2040,240,1,1,1
Greece,1371,210,20,17,20
Hungary,522,190,11,11,11
Ireland,2025,253.33,8,8,11
Italy,1457,230,8,7,6
Luxembourg,2693,253.33,1,1,1
Netherlands,1980,250,1,1,1
New Zealand,1343,246.67,3,3,1
Norway,2393,246.67,1,1,1
Poland,453,196.67,7,7,6
Portugal,1039,203.33,12,11,12
Slovakia,635,180,6,5,5
Slovenia,1041,220,5,6,5
Spain,1523,233.33,6,6,5
Sweden,2155,256.67,1,1,1
Switzerland,2714,273.33,1,1,1
United Kingdom,2749,236.67,1,1,1
United States,1748,246.67,2,1,1
